algo,env,n_seeds,auroc_eps_u_neg,auroc_dhat_neg,wins,wilcoxon_p,base_rate
PPO,LunarLander-v3,20,0.44727319781667607,0.7194649194649194,20/20,9.5367431640625e-07,0.4777397260273973
PPO,CartPole-v1,19,0.3825910931174089,0.6105476673427992,19/19,1.9073486328125e-06,0.2859468258274552
PPO,Acrobot-v1,20,0.3238239183827697,0.8061590780275836,19/19,1.9073486328125e-06,0.4164383561643835
PPO,Hopper-v5,20,0.45564000335739463,0.6613448310418812,20/20,9.5367431640625e-07,0.3125
PPO,HalfCheetah-v5,20,0.5516807079159787,0.6250116570496007,20/20,9.5367431640625e-07,0.43630136986301365
PPO,Walker2d-v5,20,0.4450796117462784,0.6183533145107467,20/20,9.5367431640625e-07,0.41198630136986303
PPO,Ant-v5,20,0.43100958078579565,0.6668858234759436,20/20,9.5367431640625e-07,0.4815068493150685
PPO,Humanoid-v5,20,0.5167597819004742,0.754018414950991,20/20,9.5367431640625e-07,0.4648053278688525
PPO-MSE,LunarLander-v3,5,0.504225352112676,0.7177177177177178,5/5,0.03125,0.4794520547945205
PPO-MSE,Hopper-v5,5,0.505391804457225,0.7329047340736411,5/5,0.03125,0.31095890410958904
PPO-MSE,HalfCheetah-v5,5,0.579556412729026,0.6330484330484331,5/5,0.03125,0.43698630136986305
PPO-MSE,Walker2d-v5,5,0.4304725168756027,0.6177434908389585,5/5,0.03125,0.4082191780821918
PPO-MSE,Ant-v5,5,0.44988738738738737,0.5871040723981901,5/5,0.03125,0.4876712328767123
PPO-MSE,Humanoid-v5,5,0.5325940860215054,0.7487737687294228,5/5,0.03125,0.4713114754098361
PPO-NU,Hopper-v5,5,0.38762626262626265,0.6549547654113191,5/5,0.03125,0.32602739726027397
PPO-NU,HalfCheetah-v5,5,0.5436986039395678,0.578030303030303,5/5,0.03125,0.4205479452054795
PPO-NU,Humanoid-v5,5,0.5163438256658596,0.7616935483870968,5/5,0.03125,0.4721311475409836
SAC,Hopper-v5,9,0.5648148148148148,0.7160493827160493,8/9,0.02734375,0.4017094017094018
SAC,HalfCheetah-v5,10,0.5146126011068539,0.5560823754789272,9/10,0.0029296875,0.35641025641025637
SAC,Walker2d-v5,10,0.5358730158730158,0.7752145308924485,10/10,0.0009765625,0.4461538461538462
TRPO,LunarLander-v3,9,0.3894736842105263,0.7894736842105263,9/9,0.001953125,0.44140030441400296
TRPO,Hopper-v5,10,0.3941176470588236,0.714517915193084,10/10,0.0009765625,0.3287671232876712
PPO,-- pooled (159 seeds) --,159,0.4484283832109919,0.6760841599292383,158/158,5.580408444808017e-28,nan
PPO-MSE,-- pooled (30 seeds) --,30,0.5048085782849505,0.6684848836783546,30/30,9.313225746154785e-10,nan
PPO-NU,-- pooled (15 seeds) --,15,0.5163438256658596,0.6549547654113191,15/15,3.0517578125e-05,nan
SAC,-- pooled (29 seeds) --,29,0.5285714285714286,0.6828571428571428,27/29,6.910413503646851e-07,nan
TRPO,-- pooled (19 seeds) --,19,0.3894736842105263,0.7430441898527005,19/19,1.9073486328125e-06,nan
ALL,"-- pooled (252 seeds, 4 algos) --",252,0.4648023143683703,0.6789554531490015,249/251,8.983233764838013e-43,nan
