algorithm,env,root,n_runs,n_valid_eps_u,auroc_neg_eps_u,n_valid_eps_u_mse,auroc_neg_eps_u_mse,n_valid_eps_u_p95,auroc_neg_eps_u_p95,n_valid_neg_delta_hat,auroc_neg_delta_hat
PPO,LunarLander-v3,results/main,20,20,0.44727319781667607,0,nan,0,nan,20,0.7194649194649194
PPO,CartPole-v1,results/main,20,20,0.3826417004048583,0,nan,0,nan,20,0.6103219105944766
PPO,Acrobot-v1,results/main,20,19,0.3238239183827697,0,nan,0,nan,19,0.8061590780275836
PPO,Hopper-v5,results/main,20,20,0.4639352569477973,0,nan,0,nan,20,0.6685647644697978
PPO,HalfCheetah-v5,results/main,20,20,0.5516807079159787,0,nan,0,nan,20,0.6250116570496007
PPO,Walker2d-v5,results/main,20,20,0.4450796117462784,0,nan,0,nan,20,0.6183533145107467
PPO,Ant-v5,results/main,20,20,0.43100958078579565,0,nan,0,nan,20,0.6668858234759436
PPO,Humanoid-v5,results/main,20,20,0.5167597819004742,0,nan,0,nan,20,0.7603403929683792
PPO-MSE,LunarLander-v3,results/ppo_mse,5,5,0.504225352112676,5,0.504225352112676,5,0.45884146341463417,5,0.7177177177177178
PPO-MSE,CartPole-v1,results/ppo_mse,5,5,0.4811688311688312,5,0.4811688311688312,5,0.38269230769230766,5,0.6100961538461539
PPO-MSE,Acrobot-v1,results/ppo_mse,5,5,0.2732919254658385,5,0.2732919254658385,5,0.3083895853423336,5,0.8010935143288085
PPO-MSE,Hopper-v5,results/ppo_mse,5,5,0.505391804457225,5,0.505391804457225,5,0.49652528157201054,5,0.7329047340736411
PPO-MSE,HalfCheetah-v5,results/ppo_mse,5,5,0.579556412729026,5,0.579556412729026,5,0.5579556412729026,5,0.6330484330484331
PPO-MSE,Walker2d-v5,results/ppo_mse,5,5,0.4304725168756027,5,0.4304725168756027,5,0.43336547733847636,5,0.6177434908389585
PPO-MSE,Ant-v5,results/ppo_mse,5,5,0.44988738738738737,5,0.44988738738738737,5,0.4072822822822823,5,0.5871040723981901
PPO-MSE,Humanoid-v5,results/ppo_mse,5,5,0.5325940860215054,5,0.5325940860215054,5,0.539474568299402,5,0.7487737687294228
SAC,Hopper-v5,results/sac,10,9,0.5648148148148148,9,0.5648148148148148,9,0.5114285714285715,9,0.7160493827160493
SAC,HalfCheetah-v5,results/sac,10,10,0.5146126011068539,10,0.5146126011068539,10,0.4983399079552926,10,0.5560823754789272
SAC,Walker2d-v5,results/sac,10,10,0.5358730158730158,10,0.5358730158730158,10,0.529030910609858,10,0.7752145308924485
TRPO,LunarLander-v3,results/trpo,10,10,0.401555023923445,0,nan,0,nan,10,0.7898981324278438
TRPO,Hopper-v5,results/trpo,10,10,0.3941176470588236,0,nan,0,nan,10,0.714517915193084
