iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,-0.16948072969292907,-0.16740058246500605,0.002080147227923018,0.007411401073716933,0.009491548301639946,0.002080147227923013,5.204170427930421e-18,0.44170141207272284,0.1497278274253763
1,-0.16740058246500605,-0.16529851444669813,0.0021020680183079232,0.07462587035411222,0.07672793837242023,0.0021020680183080065,8.326672684688674e-17,0.3992755898579756,0.13418056861241554
2,-0.16529851444669813,-0.1631219296031023,0.0021765848435958413,-0.18312869677924365,-0.1809521119356476,0.0021765848435960355,1.942890293094024e-16,0.4007907584281117,0.2209147492182787
3,-0.1631219296031023,-0.1608569336473455,0.002264995955756799,0.16338760364317834,0.16565259959893505,0.0022649959557567156,8.326672684688674e-17,0.481266690043675,0.22161849037816747
4,-0.1608569336473455,-0.15851483699060673,0.0023420966567387624,-0.07477509515015196,-0.07243299849341316,0.002342096656738804,4.163336342344337e-17,0.32152381140625325,0.1303022150301642
5,-0.15851483699060673,-0.15605444757597384,0.002460389414632891,0.05118760715578055,0.05364799657041341,0.002460389414632856,3.469446951953614e-17,0.3043390178308997,0.1223948176878298
6,-0.15605444757597384,-0.15350242571697537,0.002552021858998471,0.11962045045589234,0.1221724723148908,0.0025520218589984572,1.3877787807814457e-17,0.33079611111920965,0.15486599693514036
7,-0.15350242571697537,-0.150805105305641,0.0026973204113343585,0.01759820985931937,0.02029553027065376,0.0026973204113343897,3.122502256758253e-17,0.25874121859631594,0.08319109699659633
8,-0.150805105305641,-0.14800416001021138,0.0028009452954296243,-0.09863328799432242,-0.0958323426988927,0.0028009452954297215,9.71445146547012e-17,0.3118636941798052,0.13910496124323762
9,-0.14800416001021138,-0.1450395523354745,0.0029646076747368855,0.09764795996811965,0.10061256764285645,0.002964607674736802,8.326672684688674e-17,0.3468157790708576,0.14171722578902046
10,-0.1450395523354745,-0.14192821130424996,0.0031113410312245404,0.029475887996995964,0.032587229028220616,0.0031113410312246514,1.1102230246251565e-16,0.23920901479834372,0.08925738854685278
11,-0.14192821130424996,-0.13863725397354232,0.003290957330707639,-0.14898233242135753,-0.14569137509064983,0.0032909573307076945,5.551115123125783e-17,0.43505090603715124,0.1848336528869236
12,-0.13863725397354232,-0.13519889760123127,0.0034383563723110466,-0.0605958953554766,-0.057157538983165716,0.003438356372310887,1.5959455978986625e-16,0.42126152407523343,0.12373923229035863
